Year Published,Unit Code,Unit Name,Item,Item Description,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2011 Target,2013 Target
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2000,Orig State/Tuition Bdgt(000) ,759,776,652,657,749,671,585,567,406,447,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2015,  St Budget - Constant $000 ,324,341,295,303,349,317,287,285,212,240,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2050,    Acad Salary Budget ,557,550,435,526,618,510,424,408,331,308,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2060,    Asst Salary Budget ,0,0,0,0,0,31,31,30,30,16,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2070,    Non-Ac Salaries Budget ,125,123,115,115,115,113,113,110,107,104,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2080,    Wage Budget ,5,5,5,5,5,5,5,4,-76,5,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2090,    Summer Wages Budget ,0,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2100,    Expense & Equip Bdgt ,72,98,98,12,12,12,12,14,14,14,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2530,  State/Tuition Exp   (000) ,,830,757,684,860,744,561,406,463,392,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2533,    State/TuitExp - NACUBO ,,,,,,,,,,,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2534,      Instruction     (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2535,      Research        (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2536,      Public Service  (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2537,      Academic Support(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2538,      Student Svcs    (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2539,      Institutl Supprt(000) ,,830,757,684,860,744,561,406,463,392,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2540,      O&M of Plant    (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2541,      Schol&Fellwshps (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2542,      Other NACUBOs   (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2550,  Institutional Exp   (000) ,,12,5,12,91,99,116,88,62,41,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2553,    ICR Direct Exp    (000) ,,12,5,12,91,99,116,88,62,41,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2554,    Royalty/Patent Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2555,    Educ/Admn Allw Exp(000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2570,  Grants & Contr Exp  (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2573,    G&C Federal Exp   (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2574,    G&C Illinois Exp  (000) ,,0,0,0,0,0,0,0,0,0,,
FY2013,1A1-NA-NA0-433,"Equal Oppor & Access, Ofc of",2575,    G&C Pvt & Othr Exp(000) ,,0,0,0,0,0,0,0,0,0,,
